sleep_id,efficiency
d85f162b-1955-7cb8-d317-c30ea4e3201b,92.0
f2571bdc-e2b9-ac58-bec3-7bafc925eee3,89.0
2a390768-89d7-2b57-80db-c7fe3e426433,91.0
389655f8-0075-4547-8969-0d5650c4fa6f,0.0
2e154bfc-fe66-263e-0952-b80153d3dd7d,94.0
125c7bb3-bc55-741a-d7fb-c24d7551b8d3,89.0
97185b7f-410a-30f1-eae7-02465e95737e,90.0
0d8a4337-44b3-665c-aa94-7ee25977ec79,91.0
98ef4176-3af7-5ec5-edcf-cf01537641b2,92.0
198912dc-bfe6-be64-08ec-1b5911529af0,91.0
b49cc3b9-e997-09e7-0a9b-b675dd2055e1,91.0
204b21f9-265f-ed66-7b78-2a0dd9fef60a,92.0
4a2e4dbc-a7c2-9e79-9dd6-9a797fcc0ab1,91.0
17bf21cc-8ccb-2435-4f1f-67daeffadb58,88.0
d0049053-64cc-d4da-aabf-dadae9d5284d,90.0
6078334a-b9c6-5b04-1a89-9134ddd8cc47,91.0
000f1f7c-3d52-0c65-f3b0-e87b35760308,83.0
6f69efe2-ea03-b8fb-43af-62908688d561,93.0
b443d9b0-b77a-3437-bd35-83511d107831,93.0
303b4a2d-b4fe-8f21-1d95-391ff2b6b9d6,87.0
0e15b1c9-8478-72b3-57dd-08f78faa36a1,95.0
b5d8592d-23f6-bae0-3e70-402c4f15d83c,81.0
ab22f987-a60c-ade2-8e89-c2a2b07f8fe9,95.0
cbd7e235-b872-59b0-e402-9bb441e1b213,80.0
57289d42-0df4-ba03-b05b-69a9661ac499,87.0
daa879fb-bf6f-16db-1294-c07ce7110cb7,91.0
729b2768-5368-92fd-105f-bf4de3c086af,87.0
726515fa-877d-2e4f-e1ee-af9c79911712,96.0
3ae7d956-7e6d-d8b9-88c5-1ba20b8e4f11,92.0
11791d2e-1a4d-9be6-94d0-a790f6cfc321,78.0
fce57337-afcd-c929-ebd6-52f00c5019ec,85.0
9689f210-4e06-2d07-d970-67881e8ccdbb,94.0
2bf2a6ce-a2d1-c360-83dd-a6edef67d4c5,89.0
917037cd-f3c8-41c0-ac69-a982d97a91b9,0.0
56cd4c6a-8bbc-82e0-034a-f86c48459c22,92.0
aea5280f-8408-2e96-deec-eafbd5952bfc,90.0
11c60d51-7bf7-5003-de61-fd612da53475,91.0
f2011813-b717-7854-1ecb-1f0b47b31a40,91.0
a71cb7bc-45e5-ff63-88c2-873545d5d3f3,86.0
af02d351-18e5-d8df-edd2-4a091e824eb5,91.0
1a9f0406-8a3b-e62b-8671-98b020927e21,89.0
2bd0650c-1de1-8726-dc20-1093887f75c9,94.0
aefd7abd-2fbc-c986-dc77-421e03aca19c,94.0
9da11a5d-10fc-3ea6-00fe-2744ab40de35,92.0
2a43c3d7-63c9-4d1e-aa34-451ce06c5fa2,0.0
80e0952e-3748-f94c-0fcc-9d83c1395871,94.0
bbd11ead-84af-e800-f46d-97cc1182568c,95.0
f3943775-415d-d6cb-9101-9fdd5e715e41,94.0
16b1c21a-1c16-dbab-0d84-6546f4a25818,88.0
8d037939-3ed7-09bd-d272-c598338a1d00,94.0
80f1973a-38e3-4016-5df3-1dddb4434780,84.0
4c137f2c-5349-715a-6eea-8cbd3ad227eb,92.0
e859f0ca-2a31-8446-52c2-5a64e5789e03,89.0
ee531c45-6046-011f-a160-a6232755bce9,89.0
b8889b92-bd47-3ae3-61d2-919a14b95111,88.0
df24d485-08a0-ded7-8b90-3ee9b2c4ce76,91.0
0eed4d1d-6edd-cf7d-cdc8-d97cd4849c86,96.0
89f93a82-1dea-a1b6-c360-001c94934df0,91.0
989137ec-7458-b961-c2b0-b4079b51e6b1,92.0
6cef27fd-6e5a-b09a-b21d-bdf835834734,91.0
67d7f37d-9c12-e75c-a37c-159538477a69,94.0
12beafcb-96af-9577-a831-f5d5df106c66,90.0
c0cf4caa-6562-fd31-e0c6-4ce57055b179,90.0
d7a9ea89-0b9c-e95b-50de-de5f6109befe,91.0
d9e6177e-4610-cb28-8233-bb6fb0eb9469,92.0
433ef333-a816-5109-8833-c77e634738b5,91.0
e60ee316-095c-02f7-ecbc-30160767fddf,91.0
fec5e9df-6c85-5b51-b91b-a0384e525d37,89.0
8bef5901-4bd2-f68e-48a4-13250b8fedfc,91.0
10e43bde-143c-a589-a433-aee55160977e,92.0
6df9b6af-25e5-925f-9706-6d7755006465,91.0
20c1cc88-cfa5-0580-6917-6418668eb888,92.0
2dc94e22-52cb-c2cc-8e31-5d418bff64eb,91.0
64ca8f43-11e7-7bea-0d9f-1a1cfdb9318f,84.0
0390740a-d7e1-061c-a6d9-1bb4d5f2ffc6,85.0
84209a8c-28e2-d0d2-aceb-f6664c684d5a,82.0
063c8db1-7c13-0c12-bbaf-ac624b19cd9d,93.0
418a3223-1be7-05d3-e56d-3d49aa68f544,86.0
271fd54e-5a86-0945-0064-52c508f14223,90.0
1e848182-63ad-e6d5-794d-de8c618ccd79,90.0
19a07c07-216d-f6c8-8e7b-ff6b288d376b,95.0
8e5f702f-3394-3d47-5933-41b33441f87b,87.0
8f4e7b6a-f75b-faaa-df22-f17b2aea6197,95.0
7e53ee69-eee4-06c5-0b9d-edcfd42ba562,92.0
03f144cd-a308-488a-ae0d-eef4641c2939,0.0
b7bdc0f9-b488-7129-62e8-8eee94e0724c,94.0
ac8fbc1f-c38f-5a01-f5d5-dc5dfa17da9a,90.0
dffd9f5e-5ec4-68bf-caef-e0b3b6e7f27b,95.0
96ce008f-c855-1762-542e-c267a156c6e6,91.0
33d7ecc2-4eb6-dc40-0ec2-b56b33d42d40,92.0
ece41c9f-8495-c39b-1278-1d5a48d6710b,91.0
20e41795-2d32-53b8-19ca-07175c200d81,95.0
7048aafb-940f-a020-1d85-d355086be07b,92.0
af5589e6-b5e6-9cff-4b6f-5641da184af7,93.0
3ce3a7bc-3703-9835-ebed-ef2a2d158ddf,92.0
fec67162-ed5d-3daf-553a-8386b6e0104c,87.0
dca8fb90-5b25-7290-bec6-c89dbbf9dbee,94.0
f3493f96-665b-ee60-fd2f-be7ded7bf96d,96.0
2ec93340-18c1-a952-7847-1f6ecffca00b,90.0
3e75ce03-f5d3-c1c3-4dfd-14faefd384fa,89.0
eb0d7a74-d8a6-4efc-8790-955c48bc6904,0.0
4187d9d5-1478-770c-b333-18dcc0ba153a,91.0
fc85fd2d-fe87-5ebe-48bf-5e82a40b877a,89.0
99868faa-1183-78f4-98d9-ff49112e3e4d,90.0
3467c9ae-a8a3-8c6a-de8e-e39cf236d733,91.0
bdbec2e7-8d8f-58e3-bcaa-01205061274b,89.0
61771d8d-9914-45ab-8427-6c2d9ad10ea9,96.0
70bd50b2-7f6d-c302-b3cb-8a0436272b6c,88.0
406bd655-739b-8490-85b7-9128e2f13f41,88.0
217d9390-bae7-838f-0d5c-7052dc0eb1a7,88.0
43eed540-0ca0-c169-80b7-a85ce5ed9e9f,93.0
17925988-17f8-6652-6465-850b98edabb5,93.0
a3ac4c8f-da3e-6fb9-0f11-31aaa30dc59d,94.0
070db8dd-8f91-816f-097b-31f5af8e6a30,94.0
a31329be-77de-745e-316b-13a55a3bdc11,88.0
8bf90c8f-79c0-2a40-8a90-41ea23938908,86.0
3756a835-0d5e-264d-b706-fc02a5ac78d4,91.0
16c55adb-167c-6e8d-13b3-89dc4affa549,90.0
