fecha,hora,valor,codigo_fase,fase,orden,día
2021-11-03,02:46:00,2.7666666666666666,2,Ligero,1,Miércoles 3 de noviembre
2021-11-03,02:48:00,2.8,2,Ligero,1,Miércoles 3 de noviembre
2021-11-03,02:48:00,2.8,1,Profundo,2,Miércoles 3 de noviembre
2021-11-03,02:55:00,2.916666666666666,1,Profundo,2,Miércoles 3 de noviembre
2021-11-03,02:55:00,2.916666666666666,2,Ligero,3,Miércoles 3 de noviembre
2021-11-03,03:16:00,3.266666666666667,2,Ligero,3,Miércoles 3 de noviembre
2021-11-03,03:16:00,3.266666666666667,1,Profundo,4,Miércoles 3 de noviembre
2021-11-03,03:24:00,3.4000000000000004,1,Profundo,4,Miércoles 3 de noviembre
2021-11-03,03:24:00,3.4000000000000004,2,Ligero,5,Miércoles 3 de noviembre
2021-11-03,03:25:00,3.4166666666666665,2,Ligero,5,Miércoles 3 de noviembre
2021-11-03,03:25:00,3.4166666666666665,1,Profundo,6,Miércoles 3 de noviembre
2021-11-03,03:30:00,3.4999999999999996,1,Profundo,6,Miércoles 3 de noviembre
2021-11-03,03:30:00,3.4999999999999996,2,Ligero,7,Miércoles 3 de noviembre
2021-11-03,03:37:00,3.6166666666666667,2,Ligero,7,Miércoles 3 de noviembre
2021-11-03,03:37:00,3.6166666666666667,4,Despierto,8,Miércoles 3 de noviembre
2021-11-03,03:38:00,3.6333333333333333,4,Despierto,8,Miércoles 3 de noviembre
2021-11-03,03:38:00,3.6333333333333333,2,Ligero,9,Miércoles 3 de noviembre
2021-11-03,03:39:00,3.6500000000000004,2,Ligero,9,Miércoles 3 de noviembre
2021-11-03,03:39:00,3.6500000000000004,4,Despierto,10,Miércoles 3 de noviembre
2021-11-03,03:40:00,3.6666666666666665,4,Despierto,10,Miércoles 3 de noviembre
2021-11-03,03:40:00,3.6666666666666665,3,REM,11,Miércoles 3 de noviembre
2021-11-03,03:53:00,3.883333333333333,3,REM,11,Miércoles 3 de noviembre
2021-11-03,03:53:00,3.883333333333333,2,Ligero,12,Miércoles 3 de noviembre
2021-11-03,03:54:00,3.9000000000000004,2,Ligero,12,Miércoles 3 de noviembre
2021-11-03,03:54:00,3.9000000000000004,4,Despierto,13,Miércoles 3 de noviembre
2021-11-03,03:55:00,3.916666666666666,4,Despierto,13,Miércoles 3 de noviembre
2021-11-03,03:55:00,3.916666666666666,2,Ligero,14,Miércoles 3 de noviembre
2021-11-03,04:06:00,4.1,2,Ligero,14,Miércoles 3 de noviembre
2021-11-03,04:06:00,4.1,4,Despierto,15,Miércoles 3 de noviembre
2021-11-03,04:07:00,4.116666666666667,4,Despierto,15,Miércoles 3 de noviembre
2021-11-03,04:07:00,4.116666666666667,2,Ligero,16,Miércoles 3 de noviembre
2021-11-03,04:08:00,4.133333333333334,2,Ligero,16,Miércoles 3 de noviembre
2021-11-03,04:08:00,4.133333333333334,1,Profundo,17,Miércoles 3 de noviembre
2021-11-03,04:16:00,4.266666666666667,1,Profundo,17,Miércoles 3 de noviembre
2021-11-03,04:16:00,4.266666666666667,2,Ligero,18,Miércoles 3 de noviembre
2021-11-03,04:39:00,4.6499999999999995,2,Ligero,18,Miércoles 3 de noviembre
2021-11-03,04:39:00,4.6499999999999995,3,REM,19,Miércoles 3 de noviembre
2021-11-03,04:48:00,4.800000000000001,3,REM,19,Miércoles 3 de noviembre
2021-11-03,04:48:00,4.800000000000001,4,Despierto,20,Miércoles 3 de noviembre
2021-11-03,04:49:00,4.816666666666667,4,Despierto,20,Miércoles 3 de noviembre
2021-11-03,04:49:00,4.816666666666667,3,REM,21,Miércoles 3 de noviembre
2021-11-03,04:55:00,4.916666666666666,3,REM,21,Miércoles 3 de noviembre
2021-11-03,04:55:00,4.916666666666666,2,Ligero,22,Miércoles 3 de noviembre
2021-11-03,05:39:00,5.6499999999999995,2,Ligero,22,Miércoles 3 de noviembre
2021-11-03,05:39:00,5.6499999999999995,3,REM,23,Miércoles 3 de noviembre
2021-11-03,05:47:00,5.783333333333333,3,REM,23,Miércoles 3 de noviembre
2021-11-03,05:47:00,5.783333333333333,4,Despierto,24,Miércoles 3 de noviembre
2021-11-03,05:49:00,5.816666666666667,4,Despierto,24,Miércoles 3 de noviembre
2021-11-03,05:49:00,5.816666666666667,3,REM,25,Miércoles 3 de noviembre
2021-11-03,05:58:00,5.966666666666667,3,REM,25,Miércoles 3 de noviembre
2021-11-03,05:58:00,5.966666666666667,4,Despierto,26,Miércoles 3 de noviembre
2021-11-03,05:59:00,5.983333333333333,4,Despierto,26,Miércoles 3 de noviembre
2021-11-03,05:59:00,5.983333333333333,3,REM,27,Miércoles 3 de noviembre
2021-11-03,06:05:00,6.083333333333333,3,REM,27,Miércoles 3 de noviembre
2021-11-03,06:05:00,6.083333333333333,2,Ligero,28,Miércoles 3 de noviembre
2021-11-03,06:17:00,6.283333333333333,2,Ligero,28,Miércoles 3 de noviembre
2021-11-03,06:17:00,6.283333333333333,3,REM,29,Miércoles 3 de noviembre
2021-11-03,06:23:00,6.383333333333334,3,REM,29,Miércoles 3 de noviembre
2021-11-03,06:23:00,6.383333333333334,4,Despierto,30,Miércoles 3 de noviembre
2021-11-03,06:24:00,6.4,4,Despierto,30,Miércoles 3 de noviembre
2021-11-03,06:24:00,6.4,2,Ligero,31,Miércoles 3 de noviembre
2021-11-03,07:22:00,7.366666666666666,2,Ligero,31,Miércoles 3 de noviembre
2021-11-03,07:22:00,7.366666666666666,4,Despierto,32,Miércoles 3 de noviembre
2021-11-03,07:23:00,7.383333333333334,4,Despierto,32,Miércoles 3 de noviembre
2021-11-03,07:23:00,7.383333333333334,2,Ligero,33,Miércoles 3 de noviembre
2021-11-03,07:28:00,7.466666666666667,2,Ligero,33,Miércoles 3 de noviembre
2021-11-03,07:28:00,7.466666666666667,4,Despierto,34,Miércoles 3 de noviembre
2021-11-03,07:29:00,7.483333333333333,4,Despierto,34,Miércoles 3 de noviembre
2021-11-03,07:29:00,7.483333333333333,2,Ligero,35,Miércoles 3 de noviembre
2021-11-03,07:41:00,7.683333333333334,2,Ligero,35,Miércoles 3 de noviembre
2021-11-03,07:41:00,7.683333333333334,4,Despierto,36,Miércoles 3 de noviembre
2021-11-03,07:44:00,7.733333333333334,4,Despierto,36,Miércoles 3 de noviembre
2021-11-03,07:44:00,7.733333333333334,2,Ligero,37,Miércoles 3 de noviembre
2021-11-03,07:50:00,7.833333333333333,2,Ligero,37,Miércoles 3 de noviembre
2021-11-03,07:50:00,7.833333333333333,4,Despierto,38,Miércoles 3 de noviembre
2021-11-03,07:51:00,7.85,4,Despierto,38,Miércoles 3 de noviembre
2021-11-03,07:51:00,7.85,2,Ligero,39,Miércoles 3 de noviembre
2021-11-03,07:52:00,7.866666666666666,2,Ligero,39,Miércoles 3 de noviembre
2021-11-03,07:52:00,7.866666666666666,4,Despierto,40,Miércoles 3 de noviembre
2021-11-03,07:53:00,7.883333333333334,4,Despierto,40,Miércoles 3 de noviembre
2021-11-03,07:53:00,7.883333333333334,2,Ligero,41,Miércoles 3 de noviembre
