fecha,hora,valor,codigo_fase
2021-11-03,02:46:00,2.46,3
2021-11-03,02:48:00,2.48,3
2021-11-03,02:48:00,2.48,4
2021-11-03,02:55:00,2.55,3
2021-11-03,02:55:00,2.55,4
2021-11-03,03:16:00,3.16,3
2021-11-03,03:16:00,3.16,4
2021-11-03,03:24:00,3.24,3
2021-11-03,03:24:00,3.24,4
2021-11-03,03:25:00,3.25,3
2021-11-03,03:25:00,3.25,4
2021-11-03,03:30:00,3.3,3
2021-11-03,03:30:00,3.3,4
2021-11-03,03:37:00,3.37,1
2021-11-03,03:37:00,3.37,3
2021-11-03,03:38:00,3.38,1
2021-11-03,03:38:00,3.38,3
2021-11-03,03:39:00,3.39,1
2021-11-03,03:39:00,3.39,3
2021-11-03,03:40:00,3.4,1
2021-11-03,03:40:00,3.4,2
2021-11-03,03:53:00,3.53,2
2021-11-03,03:53:00,3.53,3
2021-11-03,03:54:00,3.54,1
2021-11-03,03:54:00,3.54,3
2021-11-03,03:55:00,3.55,1
2021-11-03,03:55:00,3.55,3
2021-11-03,04:06:00,4.06,1
2021-11-03,04:06:00,4.06,3
2021-11-03,04:07:00,4.07,1
2021-11-03,04:07:00,4.07,3
2021-11-03,04:08:00,4.08,3
2021-11-03,04:08:00,4.08,4
2021-11-03,04:16:00,4.16,3
2021-11-03,04:16:00,4.16,4
2021-11-03,04:39:00,4.39,2
2021-11-03,04:39:00,4.39,3
2021-11-03,04:48:00,4.48,1
2021-11-03,04:48:00,4.48,2
2021-11-03,04:49:00,4.49,1
2021-11-03,04:49:00,4.49,2
2021-11-03,04:55:00,4.55,2
2021-11-03,04:55:00,4.55,3
2021-11-03,05:39:00,5.39,2
2021-11-03,05:39:00,5.39,3
2021-11-03,05:47:00,5.47,1
2021-11-03,05:47:00,5.47,2
2021-11-03,05:49:00,5.49,1
2021-11-03,05:49:00,5.49,2
2021-11-03,05:58:00,5.58,1
2021-11-03,05:58:00,5.58,2
2021-11-03,05:59:00,5.59,1
2021-11-03,05:59:00,5.59,2
2021-11-03,06:05:00,6.05,2
2021-11-03,06:05:00,6.05,3
2021-11-03,06:17:00,6.17,2
2021-11-03,06:17:00,6.17,3
2021-11-03,06:23:00,6.23,1
2021-11-03,06:23:00,6.23,2
2021-11-03,06:24:00,6.24,1
2021-11-03,06:24:00,6.24,3
2021-11-03,07:22:00,7.22,1
2021-11-03,07:22:00,7.22,3
2021-11-03,07:23:00,7.23,1
2021-11-03,07:23:00,7.23,3
2021-11-03,07:28:00,7.28,1
2021-11-03,07:28:00,7.28,3
2021-11-03,07:29:00,7.29,1
2021-11-03,07:29:00,7.29,3
2021-11-03,07:41:00,7.41,1
2021-11-03,07:41:00,7.41,3
2021-11-03,07:44:00,7.44,1
2021-11-03,07:44:00,7.44,3
2021-11-03,07:50:00,7.5,1
2021-11-03,07:50:00,7.5,3
2021-11-03,07:51:00,7.51,1
2021-11-03,07:51:00,7.51,3
2021-11-03,07:52:00,7.52,1
2021-11-03,07:52:00,7.52,3
2021-11-03,07:53:00,7.53,1
2021-11-03,07:53:00,7.53,3
2021-11-03,07:56:00,7.56,1
2021-11-03,07:56:00,7.56,3
2021-11-03,07:57:00,7.57,1
2021-11-03,07:57:00,7.57,2
2021-11-03,08:02:00,8.02,1
2021-11-03,08:02:00,8.02,2
2021-11-03,08:05:00,8.05,1
2021-11-03,08:05:00,8.05,2
2021-11-03,08:11:00,8.11,1
2021-11-03,08:11:00,8.11,2
2021-11-03,08:12:00,8.12,1
2021-11-03,08:12:00,8.12,3
2021-11-03,08:13:00,8.13,1
2021-11-03,08:13:00,8.13,3
2021-11-03,08:18:00,8.18,1
2021-11-03,08:18:00,8.18,3
2021-11-03,08:22:00,8.22,1
2021-11-03,08:22:00,8.22,3
2021-11-03,08:27:00,8.27,1
2021-11-03,08:27:00,8.27,3
2021-11-03,08:28:00,8.28,1
2021-11-03,08:28:00,8.28,3
2021-11-03,08:31:00,8.31,1
2021-11-04,03:49:00,3.49,1
2021-11-04,04:07:00,4.07,1
2021-11-04,04:07:00,4.07,4
2021-11-04,04:12:00,4.12,3
2021-11-04,04:12:00,4.12,4
2021-11-04,04:13:00,4.13,3
2021-11-04,04:13:00,4.13,4
2021-11-04,04:16:00,4.16,1
2021-11-04,04:16:00,4.16,4
2021-11-04,04:17:00,4.17,1
2021-11-04,04:17:00,4.17,4
2021-11-04,04:22:00,4.22,3
2021-11-04,04:22:00,4.22,4
2021-11-04,04:33:00,4.33,1
2021-11-04,04:33:00,4.33,3
2021-11-04,04:34:00,4.34,1
